Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age,Claim
EPX,Travel Agency,Online,2 way Comprehensive Plan,,10,MALAYSIA,24.0,0.0,32,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,14,THAILAND,22.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,21,VIET NAM,10.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,4,MOROCCO,39.6,23.76,39,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,151,PHILIPPINES,45.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,2,THAILAND,18.0,6.3,28,No
SSI,Airlines,Online,Ticket Protector,,5,SINGAPORE,2.12,0.59,48,No
C2B,Airlines,Online,Annual Silver Plan,F,431,SINGAPORE,252.85,63.21,66,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,100,JAPAN,35.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,270,FRANCE,80.0,0.0,36,No
SSI,Airlines,Online,Ticket Protector,,16,SINGAPORE,1.93,0.54,48,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,42,MALAYSIA,29.7,17.82,42,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,15,MALAYSIA,21.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,156,SINGAPORE,50.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,MALAYSIA,28.0,0.0,27,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,HONG KONG,89.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,58,SINGAPORE,39.0,0.0,27,No
EPX,Travel Agency,Online,Cancellation Plan,,27,INDONESIA,10.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,13,SINGAPORE,23.0,5.75,23,No
EPX,Travel Agency,Online,Cancellation Plan,,9,HONG KONG,18.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,46,SRI LANKA,20.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,83,NETHERLANDS,29.7,17.82,43,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,215,SINGAPORE,-19.8,11.88,31,No
EPX,Travel Agency,Online,Cancellation Plan,,2,BANGLADESH,14.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,18,MALAYSIA,13.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,5,SINGAPORE,11.5,2.88,26,No
EPX,Travel Agency,Online,Cancellation Plan,,4,VIET NAM,11.0,0.0,46,No
TTW,Travel Agency,Offline,Individual Comprehensive Plan,F,368,SINGAPORE,97.0,0.0,63,No
JZI,Airlines,Online,Value Plan,M,30,HONG KONG,83.0,29.05,46,No
EPX,Travel Agency,Online,Cancellation Plan,,6,MALAYSIA,10.0,0.0,54,No
RAB,Airlines,Online,Value Plan,M,4,BRUNEI DARUSSALAM,15.0,6.0,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,4,VIET NAM,20.0,0.0,39,No
C2B,Airlines,Online,Bronze Plan,F,9,SINGAPORE,23.4,5.85,49,No
EPX,Travel Agency,Online,Cancellation Plan,,8,MYANMAR,32.0,0.0,31,No
C2B,Airlines,Online,Annual Silver Plan,M,368,SINGAPORE,216.0,54.0,28,No
EPX,Travel Agency,Online,Cancellation Plan,,20,SINGAPORE,10.0,0.0,27,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,6,SINGAPORE,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,190,PERU,31.0,0.0,25,No
ADM,Travel Agency,Online,Value Plan,F,56,FRANCE,-130.0,49.4,22,No
JZI,Airlines,Online,Basic Plan,M,6,HONG KONG,22.0,7.7,44,No
TST,Travel Agency,Offline,Travel Cruise Protect,M,64,THAILAND,30.0,10.5,41,No
JZI,Airlines,Online,Basic Plan,F,33,MALAYSIA,52.0,18.2,23,No
EPX,Travel Agency,Online,Cancellation Plan,,47,"KOREA, REPUBLIC OF",0.0,0.0,44,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,83,JAPAN,20.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,14,SINGAPORE,23.5,5.88,27,No
C2B,Airlines,Online,Silver Plan,F,29,SINGAPORE,72.0,18.0,53,No
EPX,Travel Agency,Online,Cancellation Plan,,142,MALAYSIA,24.0,0.0,25,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,3,HONG KONG,20.0,0.0,45,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,21,AUSTRALIA,49.5,29.7,62,No
JZI,Airlines,Online,Basic Plan,M,11,CHINA,26.0,9.1,46,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,8,SINGAPORE,20.0,0.0,37,No
ART,Airlines,Online,24 Protect,F,10,PHILIPPINES,-25.07,8.77,48,No
C2B,Airlines,Online,Annual Silver Plan,M,365,SINGAPORE,216.0,54.0,33,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,225,AUSTRALIA,59.4,35.64,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,12,INDONESIA,25.0,0.0,43,No
JZI,Airlines,Online,Basic Plan,M,13,MALAYSIA,22.0,7.7,37,No
JZI,Airlines,Online,Value Plan,M,30,UNITED STATES,121.0,42.35,40,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,5,VIET NAM,26.0,0.0,36,No
RAB,Airlines,Online,Value Plan,M,1,BRUNEI DARUSSALAM,15.0,6.0,45,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,2,CHINA,20.0,0.0,29,No
EPX,Travel Agency,Online,Cancellation Plan,,40,PHILIPPINES,13.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,M,9,SINGAPORE,41.5,10.38,27,No
JZI,Airlines,Online,Basic Plan,F,72,MYANMAR,42.0,14.7,35,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,58,MALAYSIA,24.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,4,MALAYSIA,20.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,2,UNITED KINGDOM,26.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,56,THAILAND,29.7,17.82,41,No
EPX,Travel Agency,Online,Cancellation Plan,,14,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,8,MALAYSIA,10.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,9,MALAYSIA,0.0,23.76,53,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,37,NORWAY,59.4,35.64,27,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,59,CHINA,23.0,0.0,25,No
EPX,Travel Agency,Online,Cancellation Plan,,76,MALAYSIA,38.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,19,AUSTRALIA,49.5,29.7,50,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,25,UNITED STATES,102.0,0.0,58,No
EPX,Travel Agency,Online,Cancellation Plan,,17,INDONESIA,13.0,0.0,34,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,M,20,MALAYSIA,0.0,16.25,40,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,BRUNEI DARUSSALAM,30.0,0.0,52,No
EPX,Travel Agency,Online,Cancellation Plan,,38,UNITED STATES,10.0,0.0,42,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,10,CHINA,31.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,7,SINGAPORE,57.0,14.25,31,No
C2B,Airlines,Online,Silver Plan,M,36,SINGAPORE,88.5,22.13,33,No
EPX,Travel Agency,Online,Cancellation Plan,,34,CHINA,27.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,37,THAILAND,40.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,9,THAILAND,17.0,0.0,57,No
C2B,Airlines,Online,Bronze Plan,F,39,SINGAPORE,33.5,8.38,30,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,70,VIET NAM,34.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,144,UNITED KINGDOM,11.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,INDONESIA,20.0,0.0,46,No
JZI,Airlines,Online,Basic Plan,M,18,CHINA,0.0,9.1,52,No
JZI,Airlines,Online,Basic Plan,M,40,PHILIPPINES,30.0,10.5,58,No
TST,Travel Agency,Offline,Travel Cruise Protect,M,40,THAILAND,30.0,10.5,50,No
CBH,Travel Agency,Offline,Comprehensive Plan,F,60,MALAYSIA,29.0,9.57,68,No
EPX,Travel Agency,Online,Cancellation Plan,,12,PHILIPPINES,13.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,9,AUSTRIA,49.5,29.7,26,No
EPX,Travel Agency,Online,Cancellation Plan,,91,MONGOLIA,41.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,77,JAPAN,-29.7,17.82,59,No
EPX,Travel Agency,Online,Cancellation Plan,,41,HONG KONG,18.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,12,SPAIN,49.5,29.7,60,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,52,PORTUGAL,112.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,9,INDONESIA,26.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,21,SPAIN,178.2,106.92,50,No
EPX,Travel Agency,Online,Cancellation Plan,,4,CHINA,28.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,16,PHILIPPINES,30.0,10.5,45,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,112,SPAIN,86.0,0.0,36,No
C2B,Airlines,Online,Gold Plan,F,17,SINGAPORE,27.5,6.88,69,No
EPX,Travel Agency,Online,Cancellation Plan,,7,VIET NAM,15.0,0.0,27,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,50,MACAO,20.0,0.0,65,No
C2B,Airlines,Online,Bronze Plan,F,30,SINGAPORE,38.35,9.59,33,No
C2B,Airlines,Online,Annual Gold Plan,F,368,SINGAPORE,278.85,69.71,38,No
EPX,Travel Agency,Online,Cancellation Plan,,31,BELGIUM,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,10,JAPAN,56.0,0.0,36,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,F,111,AUSTRALIA,50.5,32.83,48,No
EPX,Travel Agency,Online,Cancellation Plan,,15,THAILAND,27.0,0.0,40,No
EPX,Travel Agency,Online,Cancellation Plan,,38,THAILAND,10.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,10,SINGAPORE,40.0,10.0,57,No
EPX,Travel Agency,Online,Cancellation Plan,,12,MALAYSIA,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,61,PHILIPPINES,21.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,21,CHINA,55.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,66,HONG KONG,13.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,18,THAILAND,28.0,0.0,30,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,8,THAILAND,39.6,23.76,31,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,46,AUSTRALIA,49.5,29.7,30,Yes
C2B,Airlines,Online,Bronze Plan,F,11,SINGAPORE,20.0,5.0,25,No
EPX,Travel Agency,Online,Cancellation Plan,,4,PHILIPPINES,10.0,0.0,42,No
EPX,Travel Agency,Online,Cancellation Plan,,39,UNITED STATES,10.0,0.0,22,No
EPX,Travel Agency,Online,Cancellation Plan,,6,VIET NAM,19.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,3,SINGAPORE,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,3,SINGAPORE,10.0,0.0,25,No
EPX,Travel Agency,Online,Cancellation Plan,,27,INDONESIA,16.0,0.0,42,No
EPX,Travel Agency,Online,Cancellation Plan,,43,THAILAND,25.0,0.0,37,No
JZI,Airlines,Online,Basic Plan,F,14,HONG KONG,35.0,12.25,29,No
JZI,Airlines,Online,Basic Plan,F,15,INDONESIA,18.0,6.3,42,No
JZI,Airlines,Online,Basic Plan,M,8,VIET NAM,22.0,7.7,53,No
C2B,Airlines,Online,Bronze Plan,F,24,SINGAPORE,17.55,4.39,36,No
EPX,Travel Agency,Online,Cancellation Plan,,46,MALAYSIA,10.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,107,CHINA,26.0,9.1,58,No
C2B,Airlines,Online,Bronze Plan,F,16,SINGAPORE,53.0,13.25,36,No
C2B,Airlines,Online,Bronze Plan,F,34,SINGAPORE,53.5,13.38,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,49,UNITED KINGDOM,94.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,220,UNITED KINGDOM,80.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,227,PHILIPPINES,27.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,207,"TAIWAN, PROVINCE OF CHINA",31.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,M,3,SINGAPORE,30.0,7.5,32,No
EPX,Travel Agency,Online,Cancellation Plan,,29,AUSTRALIA,67.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,77,SINGAPORE,62.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,12,THAILAND,31.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,12,AUSTRALIA,49.5,29.7,52,No
EPX,Travel Agency,Online,Cancellation Plan,,61,BANGLADESH,38.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,19,SINGAPORE,20.0,5.0,41,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,8,THAILAND,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,45,UNITED STATES,112.0,0.0,43,No
EPX,Travel Agency,Online,Cancellation Plan,,19,UNITED STATES,10.0,0.0,31,No
RAB,Airlines,Online,Value Plan,M,0,BRUNEI DARUSSALAM,15.0,6.0,53,No
JZI,Airlines,Online,Basic Plan,M,212,CANADA,35.0,12.25,41,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,12,UNITED KINGDOM,79.2,47.52,28,No
C2B,Airlines,Online,Silver Plan,M,24,SINGAPORE,88.5,22.13,44,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,HONG KONG,43.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,5,CHINA,10.0,0.0,65,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,23,SPAIN,84.0,0.0,36,No
C2B,Airlines,Online,Annual Silver Plan,F,364,SINGAPORE,216.0,54.0,50,No
SSI,Airlines,Online,Ticket Protector,,99,SINGAPORE,12.35,3.46,48,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,3,"KOREA, REPUBLIC OF",26.0,0.0,36,No
C2B,Airlines,Online,Annual Silver Plan,M,365,SINGAPORE,252.85,63.21,31,No
EPX,Travel Agency,Online,Cancellation Plan,,2,THAILAND,12.0,0.0,27,No
EPX,Travel Agency,Online,Cancellation Plan,,16,PHILIPPINES,22.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,2,MALAYSIA,19.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,2,MALAYSIA,10.0,0.0,57,No
SSI,Airlines,Online,Ticket Protector,,19,SINGAPORE,3.82,1.07,48,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,19,"KOREA, REPUBLIC OF",19.8,11.88,30,No
EPX,Travel Agency,Online,Cancellation Plan,,1,THAILAND,11.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,2,THAILAND,20.0,0.0,23,No
CCR,Travel Agency,Offline,Comprehensive Plan,F,53,MALAYSIA,29.0,9.57,118,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,13,THAILAND,49.5,29.7,50,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,6,"KOREA, REPUBLIC OF",39.6,23.76,35,No
JZI,Airlines,Online,Basic Plan,M,17,CHINA,26.0,9.1,47,No
EPX,Travel Agency,Online,Cancellation Plan,,6,VIET NAM,13.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,37,PHILIPPINES,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,MALAYSIA,0.0,0.0,36,No
JZI,Airlines,Online,Value Plan,M,36,GERMANY,167.0,58.45,44,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,F,55,UNITED KINGDOM,48.0,31.2,30,No
EPX,Travel Agency,Online,Cancellation Plan,,24,UNITED STATES,46.0,0.0,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,13,CHINA,39.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,41,"TAIWAN, PROVINCE OF CHINA",59.4,35.64,60,No
EPX,Travel Agency,Online,Cancellation Plan,,12,MYANMAR,10.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,4,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,41,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,F,13,UNITED KINGDOM,-48.0,31.2,34,No
EPX,Travel Agency,Online,Cancellation Plan,,3,UNITED STATES,53.0,0.0,46,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,23,HONG KONG,25.0,0.0,65,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,129,CHINA,40.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,33,SINGAPORE,33.5,8.38,25,No
JZI,Airlines,Online,Basic Plan,F,15,CHINA,26.0,9.1,26,No
JZI,Airlines,Online,Basic Plan,M,27,PHILIPPINES,22.0,7.7,32,No
EPX,Travel Agency,Online,Cancellation Plan,,8,JAPAN,31.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,9,AUSTRALIA,49.5,29.7,47,No
C2B,Airlines,Online,Silver Plan,F,6,SINGAPORE,18.5,4.63,33,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,19,MALAYSIA,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,16,CHINA,38.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,6,THAILAND,17.0,0.0,42,No
EPX,Travel Agency,Online,Cancellation Plan,,22,HONG KONG,29.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,15,SINGAPORE,20.0,5.0,60,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,93,AUSTRALIA,39.6,23.76,30,No
JZI,Airlines,Online,Value Plan,M,27,UNITED STATES,121.0,42.35,47,No
EPX,Travel Agency,Online,Cancellation Plan,,5,THAILAND,14.0,0.0,38,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,22,AUSTRALIA,39.6,23.76,48,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,INDONESIA,20.0,0.0,24,No
ART,Airlines,Online,Value Plan,M,15,NEPAL,40.0,14.0,118,No
EPX,Travel Agency,Online,Cancellation Plan,,155,UNITED STATES,128.0,0.0,28,No
EPX,Travel Agency,Online,Cancellation Plan,,94,MYANMAR,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,155,INDONESIA,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,27,JAPAN,36.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,5,"KOREA, REPUBLIC OF",29.7,17.82,40,No
EPX,Travel Agency,Online,Cancellation Plan,,3,SINGAPORE,14.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,273,CANADA,71.0,0.0,31,No
EPX,Travel Agency,Online,Cancellation Plan,,30,MACAO,17.0,0.0,65,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,66,THAILAND,21.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,VIET NAM,21.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,13,JAPAN,49.0,0.0,22,No
EPX,Travel Agency,Online,Cancellation Plan,,14,PHILIPPINES,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,5,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,THAILAND,101.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,42,SINGAPORE,49.0,12.25,33,No
EPX,Travel Agency,Online,Cancellation Plan,,39,ITALY,80.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,8,THAILAND,39.6,23.76,46,No
C2B,Airlines,Online,Bronze Plan,F,8,SINGAPORE,40.0,10.0,27,No
JZI,Airlines,Online,Basic Plan,F,34,HONG KONG,35.0,12.25,26,No
EPX,Travel Agency,Online,Cancellation Plan,,27,INDIA,40.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,30,CHINA,25.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,33,THAILAND,13.0,0.0,33,No
EPX,Travel Agency,Online,Cancellation Plan,,9,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,58,NETHERLANDS,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,12,CHINA,39.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,22,CAMBODIA,20.0,0.0,24,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,21,CANADA,0.0,5.94,42,No
EPX,Travel Agency,Online,Cancellation Plan,,6,SINGAPORE,13.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,167,PHILIPPINES,22.0,7.7,55,No
ART,Airlines,Online,24 Protect,,29,MALAYSIA,16.93,5.93,53,No
EPX,Travel Agency,Online,Cancellation Plan,,49,INDIA,32.0,0.0,36,No
C2B,Airlines,Online,Annual Silver Plan,F,368,SINGAPORE,187.85,46.96,37,Yes
C2B,Airlines,Online,Bronze Plan,F,9,SINGAPORE,20.25,5.06,31,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,8,SINGAPORE,20.0,0.0,47,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,5,THAILAND,34.0,0.0,36,No
JZI,Airlines,Online,Value Plan,F,27,FRANCE,49.0,17.15,35,No
EPX,Travel Agency,Online,Cancellation Plan,,7,"TAIWAN, PROVINCE OF CHINA",19.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,2,"TAIWAN, PROVINCE OF CHINA",28.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,106,JAPAN,32.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,103,CHINA,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,20,AUSTRALIA,112.0,0.0,35,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,8,AUSTRALIA,69.3,41.58,27,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,167,UNITED KINGDOM,128.7,77.22,31,No
EPX,Travel Agency,Online,Cancellation Plan,,102,THAILAND,10.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,7,THAILAND,22.0,7.7,60,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,28,INDIA,50.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,25,CHINA,37.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,162,NEPAL,25.0,0.0,36,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,F,21,"TAIWAN, PROVINCE OF CHINA",36.5,23.73,77,No
RAB,Airlines,Online,Value Plan,M,23,BRUNEI DARUSSALAM,15.0,6.0,55,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,CAMBODIA,36.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,23,FRANCE,21.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,123,THAILAND,20.0,0.0,35,No
C2B,Airlines,Online,Bronze Plan,M,34,SINGAPORE,39.0,9.75,59,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,PHILIPPINES,20.0,0.0,35,No
C2B,Airlines,Online,Silver Plan,F,14,SINGAPORE,57.0,14.25,31,No
EPX,Travel Agency,Online,Cancellation Plan,,3,SINGAPORE,13.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,19,SINGAPORE,60.0,15.0,31,Yes
EPX,Travel Agency,Online,Cancellation Plan,,1,MALAYSIA,10.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,158,"KOREA, REPUBLIC OF",39.6,23.76,64,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,41,JAPAN,-9.9,5.94,27,No
C2B,Airlines,Online,Annual Silver Plan,M,365,SINGAPORE,216.0,54.0,42,No
EPX,Travel Agency,Online,Cancellation Plan,,10,CHINA,25.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,12,THAILAND,20.0,0.0,40,No
EPX,Travel Agency,Online,Cancellation Plan,,12,VIET NAM,15.0,0.0,36,No
ART,Airlines,Online,24 Protect,M,8,MALAYSIA,25.7,8.99,48,No
C2B,Airlines,Online,Silver Plan,M,37,SINGAPORE,95.0,23.75,28,No
EPX,Travel Agency,Online,Cancellation Plan,,72,AUSTRALIA,58.0,0.0,29,No
C2B,Airlines,Online,Bronze Plan,M,13,SINGAPORE,23.5,5.88,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,27,JAPAN,38.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,20,SINGAPORE,63.5,15.88,39,No
EPX,Travel Agency,Online,Cancellation Plan,,42,CHINA,26.0,0.0,37,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,92,AUSTRALIA,38.0,0.0,36,No
ADM,Travel Agency,Online,Premier Plan,,104,MOROCCO,111.0,42.18,22,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,3,THAILAND,20.0,0.0,30,No
C2B,Airlines,Online,Silver Plan,F,17,SINGAPORE,63.5,15.88,26,No
C2B,Airlines,Online,Gold Plan,F,12,SINGAPORE,42.5,10.63,43,No
JZI,Airlines,Online,Basic Plan,F,186,INDONESIA,30.0,10.5,27,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,25,THAILAND,39.6,23.76,42,No
EPX,Travel Agency,Online,Cancellation Plan,,10,THAILAND,15.0,0.0,43,No
TST,Travel Agency,Offline,Travel Cruise Protect,F,92,THAILAND,30.0,10.5,25,No
EPX,Travel Agency,Online,Cancellation Plan,,56,BRAZIL,80.0,0.0,34,No
JZI,Airlines,Online,Value Plan,F,6,JAPAN,36.0,12.6,46,No
JZI,Airlines,Online,Value Plan,F,72,UNITED STATES,121.0,42.35,50,No
EPX,Travel Agency,Online,Cancellation Plan,,8,INDIA,25.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,55,AUSTRALIA,89.1,53.46,38,No
CCR,Travel Agency,Offline,Comprehensive Plan,M,95,MALAYSIA,29.0,9.57,43,No
EPX,Travel Agency,Online,Cancellation Plan,,18,JAPAN,46.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,168,UNITED STATES,73.0,0.0,71,No
